# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
2.30E+02,2.00E+00,3.92E+01,6.77E+02,6.13E+01,3.07E-15
2.31E+02,2.00E+00,3.80E+01,6.78E+02,5.17E+01,-3.53E-15
2.32E+02,2.00E+00,4.21E+01,6.60E+02,6.62E+01,-2.30E-15
2.33E+02,2.00E+00,3.28E+01,6.48E+02,5.98E+01,-9.42E-16
2.34E+02,2.00E+00,4.04E+01,6.41E+02,5.82E+01,-4.57E-15
2.35E+02,2.00E+00,2.61E+01,6.42E+02,5.65E+01,1.56E-15
2.36E+02,2.00E+00,3.06E+01,6.43E+02,3.93E+01,-3.26E-15
2.37E+02,2.00E+00,3.38E+01,6.55E+02,3.28E+01,6.05E-16
2.38E+02,2.00E+00,3.42E+01,6.53E+02,2.95E+01,8.35E-16
2.39E+02,2.00E+00,3.48E+01,6.39E+02,5.11E+01,2.31E-15
